p_mut	p_inf	n_inf_n_mean
0.01584893192461114	0.0065	4666.666666666667
0.01584893192461114	0.007	4833.333333333333
0.01584893192461114	0.0075	4833.333333333333
0.01584893192461114	0.008	4833.333333333333
0.01584893192461114	0.0085	4833.333333333333
0.01584893192461114	0.009	4833.333333333333
0.01584893192461114	0.0095	4833.333333333333
0.01584893192461114	0.01	4833.333333333333
0.025118864315095822	0.0	0.0
0.025118864315095822	0.0005	500.0
0.025118864315095822	0.001	1000.0
0.025118864315095822	0.0015	1166.6666666666667
0.025118864315095822	0.002	1333.3333333333333
0.025118864315095822	0.0025	1833.3333333333333
0.025118864315095822	0.003	2166.6666666666665
0.025118864315095822	0.0035	2500.0
0.025118864315095822	0.004	3000.0
0.025118864315095822	0.0045	3500.0
0.025118864315095822	0.005	3500.0
0.025118864315095822	0.0055	3500.0
